Testamento,Lema_Demografico,Arrepentimiento,Culpa
Antiguo Testamento,israel,98,123
Antiguo Testamento,hijo,104,87
Antiguo Testamento,moisés,5,9
Antiguo Testamento,salomón,8,4
Antiguo Testamento,abraham,7,2
Antiguo Testamento,davir,5,1
Antiguo Testamento,job,2,3
Antiguo Testamento,sacerdotar,1,2
Antiguo Testamento,jeremía,1,1
Antiguo Testamento,caír,0,1
Nuevo Testamento,hijo,10,18
Nuevo Testamento,jesú,15,9
Nuevo Testamento,gentil,6,3
Nuevo Testamento,juar,6,2
Nuevo Testamento,pedro,6,1
Nuevo Testamento,pablo,5,0
Nuevo Testamento,israel,3,1
Nuevo Testamento,abraham,2,0
Nuevo Testamento,apóstol,2,0
Nuevo Testamento,sacerdotar,2,0
Nuevo Testamento,fariseo,0,2
Nuevo Testamento,moisés,0,1
