Lema,Sentimiento
culpar,Culpa
culpabilidad,Culpa
culpable,Culpa
delito,Culpa
faltar,Culpa
pecado,Culpa
pecar,Culpa
ofensar,Culpa
yerro,Culpa
error,Culpa
infracción,Culpa
incumplimiento,Culpa
transgresión,Culpa
iniquidad,Culpa
maldad,Culpa
agraver,Culpa
responsabilidad,Culpa
imprudencia,Culpa
omisión,Culpa
desliz,Culpa
fallo,Culpa
tropiezo,Culpa
arrepentimiento,Arrepentimiento
arrepentirse,Arrepentimiento
contrición,Arrepentimiento
contribir,Arrepentimiento
pesar,Arrepentimiento
pesadumbre,Arrepentimiento
remordimiento,Arrepentimiento
penitencia,Arrepentimiento
confesar,Arrepentimiento
confesión,Arrepentimiento
convertir,Arrepentimiento
volver,Arrepentimiento
tornar,Arrepentimiento
dolor,Arrepentimiento
aflicción,Arrepentimiento
compunción,Arrepentimiento
abatimiento,Arrepentimiento
agobiar,Arrepentimiento
